Date,Province,Gender,Age group,Employment rate,Population,Unemployment rate
2020-01,Alberta,Men+,15 to 24 years,53.8,266.3,18.0
2020-01,Alberta,Men+,15 to 64 years,78.5,1477.3,7.8
2020-01,Alberta,Men+,15 years and over,70.3,1746.0,7.5
2020-01,Alberta,Men+,25 to 54 years,87.4,938.3,5.7
2020-01,Alberta,Men+,25 years and over,73.3,1479.7,5.9
2020-01,Alberta,Men+,55 years and over,48.8,541.4,6.3
2020-01,Alberta,Total - Gender,15 to 24 years,56.7,519.0,14.0
2020-01,Alberta,Total - Gender,15 to 64 years,74.8,2917.4,7.5
2020-01,Alberta,Total - Gender,15 years and over,65.7,3482.0,7.3
2020-01,Alberta,Total - Gender,25 to 54 years,82.7,1855.7,6.2
2020-01,Alberta,Total - Gender,25 years and over,67.3,2963.0,6.2
2020-01,Alberta,Total - Gender,55 years and over,41.5,1107.3,6.2
2020-01,Alberta,Women+,15 to 24 years,59.7,252.7,9.7
2020-01,Alberta,Women+,15 to 64 years,71.0,1440.0,7.1
2020-01,Alberta,Women+,15 years and over,61.1,1736.0,7.0
2020-01,Alberta,Women+,25 to 54 years,77.9,917.5,6.7
2020-01,Alberta,Women+,25 years and over,61.4,1483.3,6.6
2020-01,Alberta,Women+,55 years and over,34.5,565.9,6.1
2020-01,British Columbia,Men+,15 to 24 years,58.6,313.2,8.0
2020-01,British Columbia,Men+,15 to 64 years,79.1,1678.8,4.4
2020-01,British Columbia,Men+,15 years and over,66.9,2108.5,4.4
2020-01,British Columbia,Men+,25 to 54 years,87.9,1021.1,3.9
2020-01,British Columbia,Men+,25 years and over,68.4,1795.3,3.9
2020-01,British Columbia,Men+,55 years and over,42.6,774.2,3.9
2020-01,British Columbia,Total - Gender,15 to 24 years,58.9,610.9,7.9
2020-01,British Columbia,Total - Gender,15 to 64 years,75.3,3372.2,4.7
2020-01,British Columbia,Total - Gender,15 years and over,62.6,4283.4,4.7
2020-01,British Columbia,Total - Gender,25 to 54 years,84.1,2054.0,4.0
2020-01,British Columbia,Total - Gender,25 years and over,63.2,3672.5,4.2
2020-01,British Columbia,Total - Gender,55 years and over,36.7,1618.4,4.7
2020-01,British Columbia,Women+,15 to 24 years,59.2,297.7,7.9
2020-01,British Columbia,Women+,15 to 64 years,71.5,1693.4,5.0
2020-01,British Columbia,Women+,15 years and over,58.4,2174.9,5.0
2020-01,British Columbia,Women+,25 to 54 years,80.4,1033.0,4.1
2020-01,British Columbia,Women+,25 years and over,58.3,1877.2,4.5
